Bubble Sort Results (In Seconds),,,,,,,
,10,100,1000,10000,25000,50000,100000
Test 1,0.000734,0.0006679,0.0154062,0.1061132,0.8535239,3.741253,13.2586973
Test 2,0.0000015,0.0000314,0.000975,0.1135706,0.7680436,3.3786335,13.320439
Test 3,0.0000017,0.0000364,0.0009842,0.1031889,0.7621645,3.3211915,13.2115891
Test 4,0.000002,0.0000384,0.0012157,0.104844,0.7874756,3.3967908,13.6054061
Test 5,0.0000014,0.0000178,0.0011737,0.1246788,0.796238,3.5107538,13.5301126
Test 6,0.0000013,0.0000229,0.0011348,0.1112631,0.7459372,3.3265629,13.1985616
Test 7,0.0000013,0.0000254,0.0008906,0.1030855,0.758317,3.361421,13.2877629
Test 8,0.000001,0.0000406,0.0012267,0.11589,0.7508669,3.2823239,13.3981417
Test 9,0.000001,0.0000348,0.0010113,0.1037902,0.7743345,3.2783736,13.24966
Test 10,0.0000012,0.000022,0.0012582,0.1025418,0.7645441,3.2593879,13.2046289
Averages ,0.00175999,0.00351998,0.00703996,0.01759991,0.17599906,1.75999063,17.59990629
,,,,,,,
Selection Sort Results (In Seconds),,,,,,,
,10,100,1000,10000,25000,50000,100000
Test 1,0.0000144,0.0001226,0.0025308,0.0457377,0.1637282,0.8341774,2.2923498
Test 2,0.0000024,0.0000199,0.0004283,0.0273353,0.1483403,0.56709,2.336648
Test 3,0.0000016,0.0000082,0.0003346,0.0251432,0.1469337,0.6075922,2.2769775
Test 4,0.0000012,0.0000128,0.000446,0.0251383,0.1494551,0.5746388,2.4718893
Test 5,0.0000014,0.0000131,0.0004619,0.0341069,0.153957,0.6630196,2.3476418
Test 6,0.0000009,0.0000083,0.0003338,0.0267955,0.148702,0.5754071,2.2938578
Test 7,0.0000009,0.0000148,0.0003183,0.025423,0.1441548,0.572156,2.2938316
Test 8,0.0000009,0.00001,0.0004807,0.0257176,0.1505371,0.6124855,2.3466834
Test 9,0.0000009,0.0000086,0.0005852,0.0276114,0.1844897,0.5792391,2.30005
Test 10,0.0000009,0.000008,0.0003074,0.0240073,0.1500423,0.5674481,2.2913906
Averages ,0.00031238,0.00062477,0.00124954,0.00312384,0.03123841,0.31238409,3.12384088
,,,,,,,
Insertion Sort Results (In Seconds),,,,,,,
,10,100,1000,10000,25000,50000,100000
Test 1,0.0000085,0.0000536,0.0023688,0.039754,0.0522567,0.2140571,0.8012604
Test 2,0.0000019,0.0000043,0.0001717,0.0085195,0.05385,0.2111892,0.7996693
Test 3,0.0000017,0.0000061,0.0001524,0.0084048,0.0520677,0.2078936,0.8178161
Test 4,0.0000008,0.000004,0.0001572,0.0091936,0.0526241,0.2146047,0.869075
Test 5,0.0000008,0.0000043,0.0001699,0.0098441,0.054388,0.2191981,0.7996374
Test 6,0.000001,0.0000045,0.0000912,0.0084845,0.0540778,0.2009303,0.8442662
Test 7,0.0000005,0.0000035,0.0000912,0.0089354,0.052467,0.2039816,0.7928046
Test 8,0.0000005,0.000003,0.0001525,0.0094136,0.0795472,0.2052273,0.8022748
Test 9,0.0000004,0.0000039,0.0001335,0.0102442,0.0533884,0.2034019,0.8410627
Test 10,0.0000006,0.000003,0.0000983,0.0082628,0.0528606,0.2068309,0.8057925
